"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"180" "Leskinen, Ville" "Sport" "Oulu, FIN" "FIN" 1994-02-18 24 "186" "84" "R" 2 1994 21 16
"181" "Liedes, Heikki" "HPK" "Helsinki, FIN" "FIN" 1993-01-12 25 "186" "88" "L" 1 1993 22 16
"182" "Lipiäinen, Valtteri*" "SaiPa" "Lappeenranta, FIN" "FIN" 1997-09-02 21 "178" "77" "R" 9 1997 18 16
"183" "Lukka, Santeri*" "KalPa" "Pori, FIN" "FIN" 1991-07-19 27 "180" "86" "R" 7 1991 24 16
"184" "Luoma, Mikko" "JYP" "-" "FIN" 1976-06-22 42 "193" "94" "L" 6 1976 39 16
"185" "Luttinen, Arttu" "HIFK" "Helsinki, FIN" "FIN" 1983-09-03 35 "184" "89" "L" 9 1983 32 16
"186" "Lyytinen, Joonas" "KalPa" "Espoo, FIN" "FIN" 1995-04-04 23 "183" "72" "L" 4 1995 20 16
"187" "Lähde, Nestori" "Lukko" "Nokia, FIN" "FIN" 1989-08-12 29 "182" "93" "L" 8 1989 26 16
"188" "Lähteenmäki, Sami" "Lukko" "Riihimäki, FIN" "FIN" 1989-09-19 29 "185" "88" "L" 9 1989 26 16
"189" "Lämsä, Teemu*" "TPS" "Turku, FIN" "FIN" 1996-02-06 22 "191" "93" "R" 2 1996 19 16
"190" "Löfman, Anssi" "JYP" "Lappeenranta, FIN" "FIN" 1987-06-29 31 "177" "81" "L" 6 1987 28 16
"191" "Maalahti, Kalle" "SaiPa" "Lappeenranta, FIN" "FIN" 1991-04-30 27 "178" "85" "L" 4 1991 24 16
"192" "Maarnela, Henry*" "SaiPa" "Lappeenranta, FIN" "FIN" 1996-04-12 22 "174" "68" "L" 4 1996 19 16
"193" "Makkonen, Jussi" "TPS" "Turku, FIN" "FIN" 1985-04-24 33 "193" "91" "L" 4 1985 30 16
"194" "Malinen, Jarkko" "KooKoo" "Kuopio, FIN" "FIN" 1988-03-17 30 "188" "84" "L" 3 1988 27 16
"195" "Malmivaara, Olli" "TPS" "Kajaani, FIN" "FIN" 1982-03-13 36 "198" "104" "L" 3 1982 33 16
"196" "Manelius, Nico" "Pelicans" "Vantaa, FIN" "FIN" 1991-03-12 27 "182" "88" "L" 3 1991 24 16
"197" "Mankinen, Jesse" "KalPa" "Lappeenranta, FIN" "FIN" 1991-05-20 27 "177" "82" "R" 5 1991 24 16
"198" "Manninen, Oskari" "Sport" "Helsinki, FIN" "FIN" 1991-04-22 27 "181" "85" "L" 4 1991 24 16
"199" "Manninen, Sakari" "Kärpät" "Oulu, FIN" "FIN" 1992-02-10 26 "170" "75" "L" 2 1992 23 16
"200" "Marjamäki, Masi" "Ässät" "Pori, FIN" "FIN" 1985-01-16 33 "188" "92" "L" 1 1985 30 16
"201" "Markkanen, Jussi" "SaiPa" "Imatra, FIN" "FIN" 1975-05-08 43 "184" "84" "L" 5 1975 40 16
"202" "Marttinen, Jyri+" "Ässät" "Jyväskylän mlk, FIN" "FIN" 1982-09-01 36 "183" "88" "L" 9 1982 33 16
"203" "Meskanen, Ville*" "Ilves" "Tampere, FIN" "FIN" 1995-10-02 23 "185" "82" "R" 10 1995 20 16
"204" "Mieho, Panu*" "HIFK" "Helsinki, FIN" "FIN" 1995-01-24 23 "186" "84" "L" 1 1995 20 16
"205" "Miettinen, Antti" "HPK" "Hämeenlinna, FIN" "FIN" 1980-07-03 38 "182" "86" "R" 7 1980 35 16
"206" "Mikkola, Ilkka" "Lukko" "Oulu, FIN" "FIN" 1979-01-18 39 "181" "89" "L" 1 1979 36 16
